iter	Logloss
0	0.6768704488
1	0.6634936661
2	0.6489934813
3	0.6358218635
4	0.6231315824
5	0.6084986318
6	0.5933940678
7	0.5782686865
8	0.5643260848
9	0.5468363965
10	0.5310466616
11	0.5166315035
12	0.5025883694
13	0.4891581002
14	0.475999457
15	0.4637806661
16	0.4547640817
17	0.4479766556
18	0.4406157864
19	0.4337560687
20	0.4269982319
21	0.4209142187
22	0.4150714639
23	0.4092132835
24	0.4035971087
25	0.3974083577
26	0.3914700497
27	0.3853816831
28	0.3796982309
29	0.3737519766
30	0.3678865049
31	0.3620154562
32	0.3561440808
33	0.3505861852
34	0.3457399061
35	0.3402906112
36	0.335138558
37	0.3297714941
38	0.3243459594
39	0.3197884344
40	0.3146625891
41	0.309335614
42	0.3044304221
43	0.2995220157
44	0.2944896052
45	0.2900799082
46	0.2859810753
47	0.2823516508
48	0.2795182706
49	0.2760334703
50	0.2718194953
51	0.2684174989
52	0.2650791083
53	0.2624465458
54	0.2601043091
55	0.2572537791
56	0.2550143963
57	0.2524837614
58	0.2494908555
59	0.2471927955
60	0.2448776788
61	0.242897916
62	0.2407732308
63	0.2383022934
64	0.2362418893
65	0.2346293634
66	0.2331215834
67	0.2312739131
68	0.2295606031
69	0.2277740242
70	0.2258367538
71	0.2240556845
72	0.2220889799
73	0.2200661824
74	0.2185317951
75	0.2165270263
76	0.2145913836
77	0.2132439179
78	0.2115807688
79	0.2102713049
80	0.2088703853
81	0.2074859041
82	0.2063858411
83	0.2049865476
84	0.2033136873
85	0.2021797013
86	0.2007533891
87	0.1992699323
88	0.1983593606
89	0.1972965136
90	0.1961349937
91	0.1948948013
92	0.193297662
93	0.192194332
94	0.1910043637
95	0.1901693335
96	0.1889981311
97	0.1878089362
98	0.1869507126
99	0.1858725652
100	0.1850912933
101	0.1841253795
102	0.1834457189
103	0.1824032455
104	0.1812676812
105	0.1800402877
106	0.1789482278
107	0.1779373349
108	0.1772253686
109	0.1762977696
110	0.1756336956
111	0.1751007626
112	0.1743113057
113	0.1736697908
114	0.1728754031
115	0.1718882474
116	0.1712330788
117	0.1708233542
118	0.1699917046
119	0.1692224625
120	0.1686330914
121	0.1678215127
122	0.1671865809
123	0.1665046012
124	0.1658678355
125	0.165280799
126	0.1645180132
127	0.1637207632
128	0.1632299047
129	0.1626988424
130	0.1620280416
131	0.1614736225
132	0.1608323743
133	0.1603294202
134	0.1596658468
135	0.1592409516
136	0.1587714187
137	0.15824984
138	0.1577996878
139	0.1572550074
140	0.1568103116
141	0.1564368091
142	0.155939541
143	0.1555641712
144	0.1550231019
145	0.1545615891
146	0.1540013723
147	0.153505072
148	0.1532531155
149	0.1526500134
150	0.1523376448
151	0.1519144817
152	0.1515529944
153	0.151153411
154	0.1508408923
155	0.1504635232
156	0.1500364845
157	0.149590202
158	0.1492887448
159	0.1489442939
160	0.1485288752
161	0.1482817548
162	0.147908314
163	0.1476861011
164	0.1474363193
165	0.1469898394
166	0.1465801563
167	0.1461518595
168	0.1458762198
169	0.1453237559
170	0.1448006339
171	0.1446371239
172	0.1445277475
173	0.144070694
174	0.1437840429
175	0.1435731775
176	0.1431070895
177	0.1426912717
178	0.1422640313
179	0.1419578386
180	0.1415348273
181	0.1413911054
182	0.1411143454
183	0.1410103793
184	0.1407238073
185	0.1403356301
186	0.1400328113
187	0.1396868984
188	0.1393794723
189	0.1390819281
190	0.1387461492
191	0.1385708111
192	0.1383084941
193	0.1381734826
194	0.1378721765
195	0.1378005324
196	0.13758669
197	0.1372436906
198	0.1370590956
199	0.1366096345
