iter	Passed	Remaining
0	713	142065
1	1344	133130
2	1993	130906
3	2639	129315
4	3284	128103
5	3926	126968
6	4557	125654
7	5154	123719
8	5896	125132
9	6543	124324
10	7129	122498
11	7724	121010
12	8351	120126
13	9033	120016
14	9625	118712
15	10239	117750
16	10813	116405
17	11396	115226
18	11965	113989
19	12541	112871
20	13131	111930
21	13740	111175
22	14352	110453
23	14944	109590
24	15568	108977
25	16163	108170
26	16763	107407
27	17663	108506
28	18267	107712
29	18849	106811
30	19436	105961
31	20025	105136
32	20620	104353
33	21214	103575
34	21933	103399
35	22626	103076
36	23307	102680
37	24086	102684
38	25114	103676
39	26014	104056
40	26971	104594
41	27887	104910
42	28633	104544
43	29316	103940
44	29988	103295
45	30672	102686
46	31340	102022
47	32002	101340
48	32764	100969
49	33584	100752
50	34287	100173
51	34958	99497
52	35675	98950
53	36669	99144
54	37446	98722
55	38199	98226
56	38895	97580
57	39747	97312
58	40448	96664
59	41093	95883
60	41857	95379
61	42493	94582
62	43133	93797
63	43840	93160
64	44611	92655
65	45809	93006
66	46506	92318
67	47020	91275
68	47594	90360
69	48172	89463
70	48751	88576
71	49301	87647
72	50140	87230
73	51000	86839
74	51860	86433
75	53087	86615
76	53909	86115
77	54647	85474
78	55348	84774
79	56153	84229
80	56829	83490
81	57509	82757
82	58269	82138
83	58952	81410
84	59602	80638
85	60248	79864
86	61187	79473
87	62007	78919
88	62624	78104
89	63164	77201
90	63665	76259
91	64136	75290
92	64626	74355
93	65142	73458
94	65687	72601
95	66180	71695
96	66637	70758
97	67238	69983
98	68150	69527
99	68828	68828
100	69596	68218
101	70185	67432
102	70888	66758
103	71465	65968
104	71986	65130
105	72659	64433
106	73005	63453
107	73432	62553
108	73831	61638
109	74402	60874
110	74975	60115
111	75380	59227
112	75794	58355
113	76238	57513
114	76719	56705
115	77196	55900
116	77648	55083
117	78075	54256
118	78615	53511
119	79071	52714
120	79508	51910
121	79960	51122
122	80396	50329
123	80835	49544
124	81259	48755
125	81715	47991
126	82148	47219
127	82595	46459
128	83040	45704
129	83538	44982
130	84017	44253
131	84476	43518
132	84984	42811
133	85699	42210
134	86174	41491
135	86642	40772
136	87100	40053
137	87617	39364
138	88088	38657
139	88607	37974
140	89093	37280
141	89522	36565
142	89960	35858
143	90448	35174
144	90882	34472
145	91337	33782
146	91757	33082
147	92209	32397
148	92901	31798
149	93413	31137
150	93942	30484
151	94854	29954
152	96202	29552
153	96944	28957
154	97645	28348
155	98253	27712
156	98835	27069
157	99364	26413
158	99946	25772
159	100633	25158
160	101191	24512
161	101724	23861
162	102229	23205
163	102740	22552
164	103252	21902
165	103771	21254
166	104267	20603
167	104906	19982
168	105470	19346
169	106116	18726
170	106791	18110
171	107426	17488
172	108019	16858
173	108745	16249
174	109326	15618
175	109956	14994
176	110573	14368
177	111132	13735
178	111690	13103
179	112260	12473
180	112800	11840
181	113307	11206
182	113843	10575
183	114329	9941
184	114847	9311
185	115411	8686
186	115908	8057
187	116424	7431
188	117507	6839
189	118181	6220
190	118987	5606
191	119701	4987
192	120206	4359
193	120740	3734
194	121225	3108
195	121697	2483
196	122199	1860
197	122738	1239
198	123313	619
199	123782	0
